district,blood_group,observations,average_stock,median_stock,total_units,stockout_percentage,low_stock_percentage
Buldana,A-,168,0.31547619047619047,0.0,53.0,81.54761904761905,18.452380952380953
Buldana,AB+,168,0.625,0.0,105.0,59.523809523809526,39.285714285714285
Buldana,AB-,168,0.26785714285714285,0.0,45.0,85.71428571428571,14.285714285714285
Buldana,B+,168,2.119047619047619,0.0,356.0,57.14285714285714,30.952380952380953
Buldana,B-,168,0.35714285714285715,0.0,60.0,80.95238095238095,19.047619047619047
Buldana,O+,168,1.9047619047619047,0.0,320.0,61.904761904761905,26.785714285714285
Buldana,O-,168,0.11904761904761904,0.0,20.0,88.69047619047619,11.30952380952381
Chandrapur,A+,144,17.854166666666668,12.0,2571.0,17.36111111111111,18.75
Chandrapur,A-,144,1.0,0.5,144.0,50.0,50.0
Chandrapur,AB+,144,4.909722222222222,3.0,707.0,21.52777777777778,47.22222222222222
Chandrapur,AB-,144,0.4166666666666667,0.0,60.0,84.72222222222221,15.277777777777779
Chandrapur,B+,144,19.21527777777778,9.5,2767.0,17.36111111111111,13.194444444444445
Chandrapur,B-,144,1.8680555555555556,1.0,269.0,35.41666666666667,61.111111111111114
Chandrapur,O+,144,25.444444444444443,18.0,3664.0,17.36111111111111,0.0
Chandrapur,O-,144,2.2222222222222223,2.0,320.0,18.055555555555554,74.30555555555556
Dhule,A+,168,24.529761904761905,14.0,4121.0,2.380952380952381,19.047619047619047
Dhule,A-,168,2.8273809523809526,2.0,475.0,11.30952380952381,77.38095238095238
Dhule,AB+,168,8.321428571428571,6.0,1398.0,6.547619047619048,39.285714285714285
Dhule,AB-,168,0.7797619047619048,0.0,131.0,51.19047619047619,48.80952380952381
Dhule,B+,168,31.488095238095237,14.0,5290.0,1.1904761904761905,20.238095238095237
Dhule,B-,168,3.7083333333333335,2.5,623.0,16.666666666666664,61.30952380952381
Dhule,O+,168,43.94642857142857,31.0,7383.0,0.0,1.7857142857142856
Dhule,O-,168,3.3154761904761907,3.0,557.0,13.095238095238097,69.04761904761905
Gadchiroli,A+,72,5.888888888888889,6.0,424.0,33.33333333333333,8.333333333333332
Gadchiroli,A-,72,0.2638888888888889,0.0,19.0,81.94444444444444,18.055555555555554
Gadchiroli,AB+,72,4.388888888888889,1.0,316.0,45.83333333333333,20.833333333333336
Gadchiroli,AB-,72,0.0,0.0,0.0,100.0,0.0
Gadchiroli,B+,72,7.347222222222222,5.5,529.0,34.72222222222222,15.277777777777779
Gadchiroli,B-,72,0.4583333333333333,0.0,33.0,58.333333333333336,41.66666666666667
Gadchiroli,O+,72,8.152777777777779,6.0,587.0,33.33333333333333,13.88888888888889
Gadchiroli,O-,72,1.6666666666666667,2.0,120.0,41.66666666666667,58.333333333333336
Gondiya,A+,33,6.090909090909091,5.0,201.0,3.0303030303030303,75.75757575757575
Gondiya,A-,33,0.36363636363636365,0.0,12.0,93.93939393939394,3.0303030303030303
Gondiya,AB+,33,2.5757575757575757,3.0,85.0,18.181818181818183,78.78787878787878
Gondiya,AB-,33,0.15151515151515152,0.0,5.0,93.93939393939394,6.0606060606060606
Gondiya,B+,33,6.848484848484849,3.0,226.0,18.181818181818183,42.42424242424242
Gondiya,B-,33,0.12121212121212122,0.0,4.0,93.93939393939394,6.0606060606060606
Gondiya,O+,33,5.818181818181818,3.0,192.0,12.121212121212121,69.6969696969697
Gondiya,O-,33,0.21212121212121213,0.0,7.0,93.93939393939394,3.0303030303030303
Hingoli,A+,48,13.4375,10.5,645.0,20.833333333333336,10.416666666666668
Hingoli,A-,48,0.16666666666666666,0.0,8.0,87.5,12.5
Hingoli,AB+,48,11.020833333333334,12.5,529.0,2.083333333333333,22.916666666666664
Hingoli,AB-,48,0.5625,0.0,27.0,66.66666666666666,33.33333333333333
Hingoli,B+,48,24.770833333333332,25.0,1189.0,2.083333333333333,14.583333333333334
Hingoli,B-,48,1.125,1.0,54.0,41.66666666666667,58.333333333333336
Hingoli,O+,48,12.270833333333334,15.0,589.0,6.25,22.916666666666664
Hingoli,O-,48,2.4166666666666665,1.0,116.0,27.083333333333332,56.25
Jalgaon,A+,264,16.848484848484848,5.0,4448.0,35.984848484848484,14.393939393939394
Jalgaon,A-,264,0.9583333333333334,0.0,253.0,56.060606060606055,41.66666666666667
Jalgaon,AB+,264,8.723484848484848,3.0,2303.0,32.196969696969695,29.545454545454547
Jalgaon,AB-,264,0.4810606060606061,0.0,127.0,64.39393939393939,35.60606060606061
Jalgaon,B+,264,20.643939393939394,6.5,5450.0,28.40909090909091,19.696969696969695
Jalgaon,B-,264,1.8636363636363635,0.0,492.0,60.22727272727273,24.242424242424242
Jalgaon,O+,264,32.93560606060606,13.0,8695.0,27.65151515151515,10.606060606060606
Jalgaon,O-,264,1.356060606060606,1.0,358.0,49.24242424242424,45.07575757575758
Jalna,A+,120,34.21666666666667,22.0,4106.0,5.0,12.5
Jalna,A-,120,4.25,3.0,510.0,17.5,58.333333333333336
Jalna,AB+,120,24.975,13.0,2997.0,10.0,26.666666666666668
Jalna,AB-,120,1.3416666666666666,1.0,161.0,35.0,65.0
Jalna,B+,120,50.083333333333336,32.0,6010.0,3.3333333333333335,16.666666666666664
Jalna,B-,120,2.316666666666667,2.0,278.0,25.0,59.166666666666664
Jalna,O+,120,42.975,36.0,5157.0,2.5,10.0
Jalna,O-,120,3.0166666666666666,2.0,362.0,35.0,50.83333333333333
Kolhapur,A+,336,55.76488095238095,41.0,18737.0,7.142857142857142,2.083333333333333
Kolhapur,A-,336,1.6220238095238095,1.0,545.0,39.285714285714285,57.14285714285714
Kolhapur,AB+,336,14.8125,13.0,4977.0,10.714285714285714,17.559523809523807
Kolhapur,AB-,336,0.8244047619047619,1.0,277.0,45.83333333333333,54.166666666666664
Kolhapur,B+,336,48.30952380952381,39.0,16232.0,3.571428571428571,7.738095238095238
Kolhapur,B-,336,2.5208333333333335,1.0,847.0,27.67857142857143,55.952380952380956
Kolhapur,O+,336,62.38095238095238,53.0,20960.0,4.166666666666666,4.464285714285714
Kolhapur,O-,336,2.205357142857143,2.0,741.0,32.44047619047619,58.92857142857143
Latur,A+,219,505.662100456621,57.0,110740.0,0.45662100456621,9.1324200913242
Latur,A-,219,33.666666666666664,6.0,7373.0,26.94063926940639,20.54794520547945
Latur,AB+,219,264.42009132420094,21.0,57908.0,4.10958904109589,13.24200913242009
Latur,AB-,219,12.60730593607306,1.0,2761.0,42.00913242009132,35.61643835616438
Latur,B+,219,455.64383561643837,48.0,99786.0,0.45662100456621,12.32876712328767
Latur,B-,219,22.337899543378995,2.0,4892.0,21.91780821917808,50.2283105022831
Latur,O+,219,843.365296803653,79.0,184697.0,1.36986301369863,5.47945205479452
Latur,O-,219,30.76255707762557,3.0,6737.0,15.981735159817351,50.68493150684932
Mumbai,A+,1195,25.494560669456067,15.0,30466.0,23.84937238493724,9.9581589958159
Mumbai,A-,1195,1.5347280334728033,0.0,1834.0,61.84100418410042,31.63179916317992
Mumbai,AB+,1195,9.773221757322176,5.0,11679.0,27.280334728033473,24.267782426778243
Mumbai,AB-,1195,0.5297071129707113,0.0,633.0,74.39330543933055,25.606694560669457
Mumbai,B+,1195,25.82510460251046,11.0,30861.0,22.17573221757322,13.89121338912134
Mumbai,B-,1195,1.6343096234309624,0.0,1953.0,54.30962343096234,36.73640167364017
Mumbai,O+,1195,35.193305439330544,15.0,42056.0,21.841004184100417,9.121338912133892
Mumbai,O-,1195,2.407531380753138,0.0,2877.0,52.38493723849372,32.38493723849372
Mumbai Suburban,A+,24,47.0,38.5,1128.0,0.0,12.5
Mumbai Suburban,A-,24,0.3333333333333333,0.0,8.0,83.33333333333334,16.666666666666664
Mumbai Suburban,AB+,24,16.208333333333332,15.0,389.0,0.0,8.333333333333332
