district,blood_group,observations,average_stock,median_stock,total_units,stockout_percentage,low_stock_percentage
Osmanabad,B+,96,34.645833333333336,24.5,3326.0,0.0,15.625
Osmanabad,B-,96,2.0416666666666665,1.0,196.0,22.916666666666664,71.875
Osmanabad,O+,96,40.916666666666664,33.5,3928.0,2.083333333333333,3.125
Osmanabad,O-,96,2.7916666666666665,2.0,268.0,11.458333333333332,76.04166666666666
Palghar,A+,258,10.949612403100776,7.0,2825.0,21.705426356589147,22.868217054263564
Palghar,A-,258,1.2790697674418605,0.0,330.0,52.71317829457365,47.286821705426355
Palghar,AB+,258,3.2364341085271318,3.0,835.0,31.007751937984494,48.06201550387597
Palghar,AB-,258,0.2441860465116279,0.0,63.0,79.06976744186046,20.930232558139537
Palghar,B+,258,16.0968992248062,6.5,4153.0,19.379844961240313,27.906976744186046
Palghar,B-,258,0.7790697674418605,0.0,201.0,60.07751937984496,39.53488372093023
Palghar,O+,258,24.550387596899224,20.0,6334.0,21.705426356589147,14.34108527131783
Palghar,O-,258,1.802325581395349,1.0,465.0,46.51162790697674,45.348837209302324
Parbhani,A+,168,49.767857142857146,43.5,8361.0,2.380952380952381,20.833333333333336
Parbhani,A-,168,3.2142857142857144,2.0,540.0,31.547619047619047,41.07142857142857
Parbhani,AB+,168,20.142857142857142,10.0,3384.0,3.571428571428571,26.190476190476193
Parbhani,AB-,168,1.5119047619047619,1.5,254.0,33.92857142857143,66.07142857142857
Parbhani,B+,168,54.75595238095238,23.0,9199.0,0.0,16.666666666666664
Parbhani,B-,168,3.1607142857142856,2.0,531.0,8.928571428571429,72.02380952380952
Parbhani,O+,168,68.11309523809524,50.5,11443.0,0.0,19.047619047619047
Parbhani,O-,168,2.886904761904762,2.0,485.0,18.452380952380953,64.88095238095238
Pune,A+,1320,40.596969696969694,29.5,53588.0,6.8181818181818175,7.6515151515151505
Pune,A-,1320,3.456818181818182,2.0,4563.0,24.015151515151516,54.77272727272727
Pune,AB+,1320,15.656060606060606,11.0,20666.0,10.151515151515152,22.348484848484848
Pune,AB-,1320,1.5272727272727273,1.0,2016.0,42.72727272727273,50.90909090909091
Pune,B+,1320,44.8530303030303,26.0,59206.0,5.984848484848484,13.712121212121211
Pune,B-,1320,3.507575757575758,2.0,4630.0,18.484848484848484,61.89393939393939
Pune,O+,1320,62.61060606060606,45.0,82646.0,7.6515151515151505,5.303030303030303
Pune,O-,1320,4.109848484848484,3.0,5425.0,17.651515151515152,57.1969696969697
Raigarh,A+,264,22.738636363636363,20.0,6003.0,4.166666666666666,11.363636363636363
Raigarh,A-,264,1.4128787878787878,1.0,373.0,29.545454545454547,70.07575757575758
Raigarh,AB+,264,7.8977272727272725,7.0,2085.0,5.681818181818182,35.984848484848484
Raigarh,AB-,264,0.8181818181818182,1.0,216.0,39.39393939393939,60.60606060606061
