requester_code,requester_name,district,city,blood_group,required_units,radius_km,alternative_count,best_distance_km,best_BBRI,best_score,alternative_available
18132,Jeevandhara Blood Centre,Kolhapur,KOLHAPUR,A+,5,50,5,0.4696094301884621,12.471365428553526,95.2593345558555,1
18132,Jeevandhara Blood Centre,Kolhapur,KOLHAPUR,A-,5,50,1,2.8358888045982558,19.024405925773216,91.07274688230078,1
18132,Jeevandhara Blood Centre,Kolhapur,KOLHAPUR,B+,5,50,5,0.4696094301884621,12.471365428553526,95.2593345558555,1
18132,Jeevandhara Blood Centre,Kolhapur,KOLHAPUR,B-,5,50,2,0.4696094301884621,12.471365428553526,95.2593345558555,1
18132,Jeevandhara Blood Centre,Kolhapur,KOLHAPUR,O+,5,50,5,0.4696094301884621,12.471365428553526,95.2593345558555,1
18132,Jeevandhara Blood Centre,Kolhapur,KOLHAPUR,O-,5,50,5,23.584698065576266,20.28794723152947,74.03146001650367,1
18132,Jeevandhara Blood Centre,Kolhapur,KOLHAPUR,AB+,5,50,5,0.4696094301884621,12.471365428553526,95.2593345558555,1
18132,Jeevandhara Blood Centre,Kolhapur,KOLHAPUR,AB-,5,50,0,,,,0
18134,"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Sangli,A+,5,50,5,0.1685828111565274,13.179784410043167,95.25220920755967,1
18134,"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Sangli,A-,5,50,1,37.79656921480205,19.024405925773216,63.104202554137736,1
18134,"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Sangli,B+,5,50,5,0.1685828111565274,13.179784410043167,95.25220920755967,1
18134,"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Sangli,B-,5,50,2,7.52137137217306,17.28655549826624,87.93260847786837,1
18134,"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Sangli,O+,5,50,5,0.1685828111565274,13.179784410043167,95.25220920755967,1
18134,"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Sangli,O-,5,50,5,0.1685828111565274,13.179784410043167,95.25220920755967,1
18134,"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Sangli,AB+,5,50,5,0.1685828111565274,13.179784410043167,95.25220920755967,1
18134,"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Sangli,AB-,5,50,0,,,,0
18130,"Shri Basaveshwar Manav  Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",Sangli,Sangli,A+,5,50,5,2.275268964342525,12.26015734615392,93.8887297573721,1
18130,"Shri Basaveshwar Manav  Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",Sangli,Sangli,A-,5,50,1,41.18022042870457,19.024405925773216,60.39728158301571,1
18130,"Shri Basaveshwar Manav  Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",Sangli,Sangli,B+,5,50,5,2.275268964342525,12.26015734615392,93.8887297573721,1
18130,"Shri Basaveshwar Manav  Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",Sangli,Sangli,B-,5,50,2,3.3748098631513,17.28655549826624,91.24985768508576,1
18130,"Shri Basaveshwar Manav  Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",Sangli,Sangli,O+,5,50,5,2.275268964342525,12.26015734615392,93.8887297573721,1
18130,"Shri Basaveshwar Manav  Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",Sangli,Sangli,O-,5,50,5,2.4942934748009984,13.787142054741269,93.17906550099976,1
18130,"Shri Basaveshwar Manav  Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",Sangli,Sangli,AB+,5,50,5,2.4942934748009984,13.787142054741269,93.17906550099976,1
18130,"Shri Basaveshwar Manav  Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",Sangli,Sangli,AB-,5,50,0,,,,0
18251,"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,Osmanabad,A+,5,50,2,0.8602097391099724,17.446521362875878,93.20554973170546,1
18251,"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,Osmanabad,A-,5,50,1,37.051031064129255,9.200510679327362,67.13899641093201,1
18251,"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,Osmanabad,B+,5,50,2,0.8602097391099724,17.446521362875878,93.20554973170546,1
18251,"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,Osmanabad,B-,5,50,1,37.051031064129255,9.200510679327362,67.13899641093201,1
18251,"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,Osmanabad,O+,5,50,2,0.8602097391099724,17.446521362875878,93.20554973170546,1
18251,"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,Osmanabad,O-,5,50,1,37.051031064129255,9.200510679327362,67.13899641093201,1
18251,"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,Osmanabad,AB+,5,50,2,0.8602097391099724,17.446521362875878,93.20554973170546,1
18251,"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,Osmanabad,AB-,5,50,0,,,,0
284454,"Bhavar Blood Centre,  Badlapur (E), Taluka Ambernath, Dist. Thane",Thane,Badlapur,A+,5,50,5,0.4616542633669835,12.89919072301401,95.1159598362515,1
