origin_code,origin_bank,origin_district,blood_group,origin_stock,alternative_code,alternative_bank,alternative_district,alternative_stock,predicted_stockout_probability,alternative_bbri,distance_km,decision_support_score,rank
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18055,"Meenatai Thackeray Blood Centre, Goregaon, Mumbai, Managed By Prabodhan  Goregaon",Mumbai,90.0,0.0017692915038208426,50.4417312825988,21.135952,52.824584,44
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,280128,M/S Navi Mumbai Blood Centre,Raigarh,18.0,0.03077410779555635,39.2207290457084,28.104313,52.794318,45
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18058,Sion Blood Centre,Mumbai,19.0,0.010872781537562184,54.623395639724286,9.491219,52.701678,46
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18057,Suburban Hi-Tech Blood Centre,Mumbai,11.0,0.02496716970743245,43.00718360678494,23.939513,52.677207,47
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18204,Bhiwandi Blood Centre,Thane,17.0,0.005392757937019325,33.613953796828966,44.985445,52.290775,48
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,3.0,0.056380367588044426,51.66864053392004,7.490887,52.283821,49
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18047,Fortis  Hospital Blood Centre,Mumbai,29.0,0.0031106736674077315,48.48477927829776,25.233497,52.110626,50
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18184,"Vitthal  Sayanna General  Hospital (Civil Hospital) Blood Centre, Thane",Thane,18.0,0.12003758420968208,34.90458606228409,30.796508,51.067,51
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18024,Smt. Kapoorben Vasanji Lathiya Blood Centre,Mumbai,3.0,0.03481977636970395,56.36230263885519,14.162242,50.994589,52
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,284359,"Maha Victory Charitable Trust, Lifeline Blood Centre, Bapgaon, Tal. Bhiwandi,  Dist. Thane",Thane,4.0,0.05871191491829163,44.43937544785175,29.943306,50.686344,53
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18183,"Mahatma Gandhi Blood Centre,  Operated By Task",Thane,2.0,0.06304457097924465,44.54277077464467,29.178807,50.642053,54
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18185,Navjeevan Blood Centre Mangaed By Spvf,Thane,18.0,0.12003758420968208,38.50027668883667,29.204463,50.560134,55
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,282565,"Sathiya Educational SocietyS Sathiya Trust Blood Centre, Nalasopara, Palghar",Palghar,22.0,0.00430058707283848,20.616960450088456,80.724694,50.195316,56
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,27124,"Central Hospital Blood Centre, Ulhasnagar, Thane",Thane,9.0,0.012332650651604877,42.73925075848245,47.068138,49.945611,57
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,282570,Sankalp Blood Centre,Thane,20.0,0.005137069061265776,55.74709530835645,29.943306,49.902,58
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,284844,"Civil Hospital Palghar Blood Centre, Palghar",Palghar,9.0,0.014727589090522335,21.334319852580563,80.434529,49.717871,59
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18215,"Shree Sai Medical TrustS,  Shree Sai Blood Centre, Old Panvel",Raigarh,17.0,0.11563570755536372,42.68642970441453,30.032999,49.713865,60
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18195,Kalyan Dombivali Muncipal Corporation Sponsered Nandakishore Educaation Society  Arpan Blood Bank,Thane,8.0,0.0413163929557522,42.630616066651235,44.802347,49.536235,61
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18209,Vijayee Blood Centre Vasai (W),Palghar,10.0,0.11416837345194236,36.243428340382344,43.918083,49.127504,62
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,282670,Pimpri Chinchwad  Municipal CorporationS Y.C.M. Hospital Blood Centre,Pune,80.0,0.0021999276667984584,8.955878982662226,113.040492,48.770906,63
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,284360,"Criticare Asia Hospital Blood Centre, Pvt. Ltd., Kurla (W), Mumbai",Mumbai,1.0,0.13416587773380317,55.629300263490386,13.88165,48.677721,64
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,284720,"Dr. D.Y. Patil Medical College Hospital And Research Centre Blood Centre,  Pimpri, Pune.",Pune,64.0,0.002160718289581685,14.252032013171563,113.043925,47.574369,65
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18007,Saifee Hospital Trust Blood Centre,Mumbai,1.0,0.3132022102609146,47.73174144109717,2.310528,47.32414,66
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,284514,M/S . Ideal Foundations Ideal Blood Centre,Palghar,26.0,0.008129456971437413,35.722733029708465,81.942323,46.950546,67
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,283260,Samarpit Bahuddeshiya Sevabhavi Sanshta Tarpan Blood Centre,Pune,61.0,0.002272997975929095,12.218653313885545,120.853406,46.911131,68
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,282601,Symbiosis University Hospital And Research Center Blood Centre Of Symbiosis  Trust,Pune,52.0,0.002383106506452333,12.67041310464864,120.853406,46.740497,69
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18073,"Grant Medical Foundation,  A.H. Wadia Trust Blood Centre",Pune,30.0,0.003074625451619202,10.88278996408684,122.504574,46.671063,70
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18081,Aditya Birla Memorial Hospital Blood Centre,Pune,8.0,0.01005436970678924,19.58339625596555,108.614994,46.418877,71
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18070,Jehangir Hospital Blood Centre,Pune,50.0,0.013128266222533732,25.65778230716599,101.705309,46.410245,72
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,284529,Spandan Blood Centre,Pune,70.0,0.0025150189537905504,16.258372030916004,120.310393,46.247067,73
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18196,Ishwar Seva Trusts Dombivali Blood Center,Thane,4.0,0.040306548523874296,62.51916513941114,39.871723,46.206731,74
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18078,Noble Charitable Trust S Noble Blood Centre,Pune,68.0,0.002227281259185894,10.910122014671138,128.603927,46.200877,75
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A+,4.0,18065,"Deenanath Mangeshkar Hospital, Blood Centre",Pune,43.0,0.006789587917782415,15.677778358519141,119.654823,46.111144,76
