hospital_code,blood_bank_name,district,city,area,observations,stockout_frequency,low_stock_frequency,stock_volatility,stockout_score,low_stock_score,volatility_score,BBRI,risk_class,recovery_rate,recovery_score
18104,Phaltan Medical FoundationS Blood Centre,Satara,Phaltan,Phaltan,15,0.0083333333333333,0.325,7.04407846361009,0.8333333333333334,39.795918367346935,1.3880125780729902,10.504316069688317,Low Risk,1.0,0.0
18175,Ndmvps Medical College And Hospital Blood Centre,Nashik,Nashik,Adgaon,15,0.0833333333333333,0.1833333333333333,7.693010438399038,8.333333333333332,22.44897959183674,1.5158824971793687,10.306691712730215,Low Risk,0.9107142857142856,8.92857142857143
18065,"Deenanath Mangeshkar Hospital, Blood Centre",Pune,PUNE,Erandwane,15,0.0333333333333333,0.2166666666666666,9.584912849556916,3.333333333333333,26.53061224489796,1.8886756676046648,10.281905311458988,Low Risk,0.90625,9.375
284720,"Dr. D.Y. Patil Medical College Hospital And Research Centre Blood Centre, Pimpri, Pune.",Pune,Pimpri,Pimpri,15,0.0666666666666666,0.2083333333333333,8.95323557536662,6.666666666666667,25.51020408163265,1.7642057307082424,10.04776911975189,Low Risk,0.9375,6.25
18227,Jankalyan Blood Centre,Jalna,Jalna,Apmcs Chatrapati Shivaji Complex,15,0.0583333333333333,0.1833333333333333,7.368093179555956,5.833333333333333,22.44897959183674,1.4518586160660307,9.933542885309024,Low Risk,0.9,9.999999999999998
18171,"Jankalyan Blood Centre, Nashik",Nashik,Nashik,Gangapur,15,0.025,0.2416666666666666,28.496428044020885,2.5,29.59183673469388,5.61512776434659,9.426741124760117,Low Risk,1.0,0.0
280146,Blood Centre Shri Vasantrao Naik  Govt. Medical College And Hospital,Yavatmal,Yavatmal,Waghapur Road,15,0.0416666666666666,0.2583333333333333,7.514741693348677,4.166666666666667,31.632653061224485,1.4807552251471976,9.320018738259588,Low Risk,1.0,0.0
18283,Dr. Hegdewar Blood Centre,Nagpur,Nagpur,Laxmibhuvan Square,15,0.0416666666666666,0.2416666666666666,17.418619836660987,4.166666666666666,29.59183673469388,3.4322819586490376,9.297696340002394,Low Risk,1.0,0.0
18078,Noble Charitable TrustS Noble Blood Centre,Pune,Pune,Magarpatta,15,0.0333333333333333,0.25,14.845337446542253,3.333333333333333,30.612244897959183,2.925225096226184,9.217700831879675,Low Risk,1.0,0.0
18111,"Indian Red Cross Society Blood Centre, Shriman Rambhai Shah Blood Centre",Solapur,Solapur,Somwarpe,15,0.0166666666666666,0.225,6.7717728156583314,1.6666666666666667,27.551020408163268,1.3343556424795089,9.200510679327362,Low Risk,0.9375,6.25
280147,"Ocean Bahuuddeshiy Sanstha, M/S Ekneel Blood Centre",Yavatmal,Pusad,Yavatmal,15,0.025,0.25,8.981298035528303,2.5,30.612244897959183,1.769735346523471,8.720495061120664,Low Risk,1.0,0.0
283287,Manikraj Bahuudeshiya Samajsevi Sanstha Shivneri Blood Centre,Pune,Pune,Soham Nagari,15,0.0999999999999999,0.0416666666666666,29.29964833826206,10.0,5.1020408163265305,5.773399691203983,8.343860126882628,Low Risk,0.875,12.5
18102,"Krishna Hospital And Medical Research Centre, Blood Centre",Satara,Satara,Karad,15,0.0333333333333333,0.2,5.530333354861719,3.333333333333333,24.48979591836735,1.0897340648801668,8.269882495811878,Low Risk,0.9583333333333334,4.166666666666663
284246,Ms.Rambhabai Bahuuddeshiya Seva Sanstha Seva Blood Centre,Nandurbar,Nandurbar,Shahada,15,0.0,0.2583333333333333,1.0973452814254347,0.0,31.632653061224485,0.2162282917454819,7.962220338242491,Low Risk,1.0,0.0
285276,"Shri.Swami Samarth Blood Centre, Pandharpur, Solapur",Solapur,Solapur,Gokul,15,0.0083333333333333,0.225,17.122347156841016,0.8333333333333334,27.551020408163268,3.373902397964991,7.939564034865397,Low Risk,1.0,0.0
280537,M/S. Sri. Bhagwant Blood Centre,Solapur,Solapur,Near Kurduwadi Naka,15,0.025,0.1833333333333333,24.213627842202637,2.5,22.44897959183674,4.771216019154206,7.430048902747736,Low Risk,1.0,0.0
27108,Jankalyan Blood Center,Nandurbar,Nandurbar,Desaipura,15,0.0,0.0,142.45525391174164,0.0,0.0,28.07034096277549,7.017585240693872,Low Risk,1.0,0.0
18203,"Jai Matadi Bahuuddeshiya Sevabhavi Sasthas Guru Gobindsinghji Blood Centre, Blood Comp And Aphs Nand",Nanded,Nanded,Naroji,15,0.0333333333333333,0.1583333333333333,22.23603101302854,3.333333333333333,19.387755102040817,4.381537044476215,6.775656369962591,Low Risk,1.0,0.0
18084,Chakan Blood Centre,Pune,Pune,Chakan,15,0.0333333333333333,0.1416666666666666,20.979588618634114,3.333333333333333,17.346938775510203,4.133959187975475,6.203557824204752,Low Risk,1.0,0.0
284835,"Shaurya Blood Centre, Blood Component And Apheresis Centre, Ahmedpur, Dist. Latur",Latur,Ahmedpur,Redd,15,0.0333333333333333,0.1416666666666666,19.74376449172761,3.333333333333333,17.346938775510203,3.890444093517941,6.1426790505903694,Low Risk,1.0,0.0
284016,"Dr. R.N.Cooper Hospital Blood Centre Vile Parle (W) Mumbai,",Mumbai,Mumbai,Parel,13,0.0096153846153846,0.1442307692307692,22.631916427904915,0.9615384615384616,17.660910518053377,4.459544968175923,5.77049848694194,Low Risk,1.0,0.0
284803,"Hinjewadi Blood Centre, Hinjewadi, Tal. Mulshi, Dist. Pune",Pune,Pune,Om Plaza,15,0.0,0.15,14.847321486013213,0.0,18.367346938775512,2.925616044702313,5.323240745869456,Low Risk,1.0,0.0
