blood_group,donor_code,donor_name,recipient_code,recipient_name,distance_km,donor_surplus,recipient_deficit,recommended_units,priority_score
O+,18004,Goodwill Social ClubS Amruta Blood Centre,18117,Leelavati Blood Centre,115.77271405202947,28,5,5,0.042818222052903476
O+,18129,Chattrapati Shahu Maharaj Aadhar Blood Centre,18141,Ahmednagar Municipal Council Blood Centre,115.78309039245201,135,5,5,0.04281441759416878
O+,18064,M/S Bharati Vidyapeeth Medical Foundations Bharati Hospital Blood Centre,18196,Ishwar Seva Trusts Dombivali Blood Center,115.78424351772082,11,5,5,0.042813994845471604
O+,18080,Konkan Mitra Mandal Medical TrustS Sahyadri Speaciality Hospital Blood Centre,280738,Superitendent Gokuldas Tejpal Hospital,115.84999376173808,50,5,5,0.04278990386764765
O+,283305,Surabhi Hospital Pvt.Ltd. Surabhi Blood Centre,18071,Kem Hospital Blood Centre,115.88515340461484,69,5,5,0.042777032449038056
O+,280125,Red Plus Blood Centre Pune,18005,Breach Candy Hospital Trust Blood Centre,115.94291931648928,91,5,5,0.04275590201804536
O+,282668,Lokmanya Blood Centre,18117,Leelavati Blood Centre,115.94910427932417,201,5,5,0.042753640832151
O+,280535,Jupiter Lifeline Hospital Blood Centre,18141,Ahmednagar Municipal Council Blood Centre,115.95453097083681,23,5,5,0.04275165706275009
O+,18123,Rajarshi Shahu Indian Red Cross Blood Centre,27109,District General Hospital Blood Bank Satara,115.960100268242,48,5,5,0.04274962135405797
O+,18080,Konkan Mitra Mandal Medical TrustS Sahyadri Speaciality Hospital Blood Centre,18014,Bombay Hospital Trust Blood Centre,116.01064127925986,50,5,5,0.04273115628916949
O+,280123,M/S Vidyashree Charitable Trusts Om Blood Centre,18033,Bhabha Atomic Research Centre Hospital Blood Centre,116.02325157221317,170,5,5,0.04272655162819997
O+,284555,M/S. Freedom Foundation Sanchlit Lifeline Blood Centre,18183,"Mahatma Gandhi Blood Centre,  Operated By Task",92.63497036946643,53,4,4,0.04271908224263577
O+,18043,Poona Serological Institute Blood Centre,18033,Bhabha Atomic Research Centre Hospital Blood Centre,116.0440691691911,63,5,5,0.04271895223304594
O+,18226,Lions Blood Centre,18277,"Civil Surgeon, District General Hospital Blood Centre",116.07230407050056,48,5,5,0.04270864949398293
O+,18004,Goodwill Social ClubS Amruta Blood Centre,18277,"Civil Surgeon, District General Hospital Blood Centre",116.08291185729495,28,5,5,0.04270478006298808
O+,18073,"Grant Medical Foundation,  A.H. Wadia Trust Blood Centre",18033,Bhabha Atomic Research Centre Hospital Blood Centre,116.09768590637744,45,5,5,0.042699392061407826
O+,18065,"Deenanath Mangeshkar Hospital, Blood Centre",18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",116.12283360965867,57,5,5,0.04269022398026809
O+,18069,Jankalyan Raktapedhi Pune,18033,Bhabha Atomic Research Centre Hospital Blood Centre,116.12855294295782,299,5,5,0.042688139436291204
O+,284529,Spandan Blood Centre,18009,Bombay Red Cross Blood Centre,116.15726711027452,18,5,5,0.0426776769664125
O+,18064,M/S Bharati Vidyapeeth Medical Foundations Bharati Hospital Blood Centre,18141,Ahmednagar Municipal Council Blood Centre,116.26627060882505,11,5,5,0.04263800642794312
O+,282668,Lokmanya Blood Centre,18277,"Civil Surgeon, District General Hospital Blood Centre",116.27546437083346,201,5,5,0.04263466383888825
O+,18065,"Deenanath Mangeshkar Hospital, Blood Centre",280738,Superitendent Gokuldas Tejpal Hospital,116.29641314912404,57,5,5,0.04262704941917774
O+,280125,Red Plus Blood Centre Pune,18051,V.N. Desai Municipal General Hospital Blood Centre,116.32434911355024,91,5,5,0.04261689954197692
O+,18082,Rakesh Jain Memorial Blood Centre,18033,Bhabha Atomic Research Centre Hospital Blood Centre,116.35119851115124,38,5,5,0.04260714899750152
O+,280125,Red Plus Blood Centre Pune,18038,"K.B.Bhabha Muncipal General Hospital, Blood Centre",116.44696406789805,91,5,5,0.04257240738133867
O+,18065,"Deenanath Mangeshkar Hospital, Blood Centre",18014,Bombay Hospital Trust Blood Centre,116.45192357123784,57,5,5,0.0425706097266884
O+,18096,Bharati Vidyapeeth University Medical College And Hospital Blood Centre,27109,District General Hospital Blood Bank Satara,116.48906757177997,12,5,5,0.04255715108935773
O+,18130,"Shri Basaveshwar Manav  Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",27109,District General Hospital Blood Bank Satara,116.54149471963781,88,5,5,0.04253816928163194
O+,284448,"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",18009,Bombay Red Cross Blood Centre,116.60844070814301,17,5,5,0.04251395537509076
O+,284350,Manipal Hospitals Pvt Ltd Blood Centre,18009,Bombay Red Cross Blood Centre,116.60844070814301,6,5,5,0.04251395537509076
O+,283260,Samarpit Bahuddeshiya Sevabhavi Sanshta Tarpan Blood Centre,18009,Bombay Red Cross Blood Centre,116.60844070814301,15,5,5,0.04251395537509076
O+,18084,Chakan Blood Centre,18009,Bombay Red Cross Blood Centre,116.60844070814301,57,5,5,0.04251395537509076
O+,282733,Rotary Blood Centre,18009,Bombay Red Cross Blood Centre,116.60844070814301,18,5,5,0.04251395537509076
O+,282601,Symbiosis University Hospital And Research Center Blood Centre Of Symbiosis  Trust,18009,Bombay Red Cross Blood Centre,116.60844070814301,79,5,5,0.04251395537509076
O+,283207,Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,18009,Bombay Red Cross Blood Centre,116.60844070814301,64,5,5,0.04251395537509076
O+,18072,"Metro Blood Centre,Civil Hospital Aundh Pune",18038,"K.B.Bhabha Muncipal General Hospital, Blood Centre",116.75534441766399,48,5,5,0.04246091780145115
O+,18081,Aditya Birla Memorial Hospital Blood Centre,18059,Bharatratna Dr Babasaheb Ambedkar Mun. Gen. Hospital Blood Centre,116.76179828488551,59,5,5,0.04245859075541766
O+,18080,Konkan Mitra Mandal Medical TrustS Sahyadri Speaciality Hospital Blood Centre,18017,Masina Hospital Blood Centre,116.80401112405242,50,5,5,0.042443376522509034
O+,280768,Sanjeevani Blood Centre Bhosari,18005,Breach Candy Hospital Trust Blood Centre,116.83651536158038,27,5,5,0.04243166886476184
O+,18072,"Metro Blood Centre,Civil Hospital Aundh Pune",18051,V.N. Desai Municipal General Hospital Blood Centre,116.86862431250573,48,5,5,0.042420109924618046
O+,27120,Sasoon Blood Centre Pune,18009,Bombay Red Cross Blood Centre,116.87361772016222,7,5,5,0.04241831290756042
O+,284529,Spandan Blood Centre,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",116.87466636786883,18,5,5,0.04241793554177081
O+,18214,"Kakasaheb Chitle  Memorial Centre Sanchalit,  Jankalyan Blood Centre",18017,Masina Hospital Blood Centre,116.91077660247261,25,5,5,0.04240494502768926
O+,284529,Spandan Blood Centre,280738,Superitendent Gokuldas Tejpal Hospital,117.03498658548867,18,5,5,0.04236032166936091
O+,280674,Pandharpur Blood Centre,280140,"M.M.Patel Public Charitable Trust,  Ashwini Rural Medical College And Hospital  Blood Centre",69.84622258861023,17,3,3,0.04234523578512289
O+,280770,Jeevan Adhar Blood Centre Nanded,18236,"Indian Red Cross Society, Dr. Bhalchandra Blood Centre",117.12628186806809,61,5,5,0.04232758299786629
O+,284529,Spandan Blood Centre,18014,Bombay Hospital Trust Blood Centre,117.2144607030677,18,5,5,0.042296009898138025
O+,18065,"Deenanath Mangeshkar Hospital, Blood Centre",18017,Masina Hospital Blood Centre,117.28228788642046,57,5,5,0.04227175589299732
O+,284448,"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",117.37128348287743,17,5,5,0.04223997453506751
O+,284350,Manipal Hospitals Pvt Ltd Blood Centre,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",117.37128348287743,6,5,5,0.04223997453506751
O+,283260,Samarpit Bahuddeshiya Sevabhavi Sanshta Tarpan Blood Centre,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",117.37128348287743,15,5,5,0.04223997453506751
O+,18084,Chakan Blood Centre,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",117.37128348287743,57,5,5,0.04223997453506751
