hospital_code,blood_bank_name,district,area,city
18268,Arpan Blood Centre Blood Component And Apheresis Centre,Latur,Sawe Wadi,Latur
18269,"Shri. Brahman Swrankar Samaj Trust, Blood Centre",Buldana,Khamgaon,Buldana
18027,M/S Beed Blood Centre,Beed,Beed,Beed
18149,Laksh Foundation New Arpan Voluntary Blood Centre Ahmednagar,Ahmadnagar,Bus Stand,Ahmednagar
18021,Sir J.J.Mahanagar Rakthapedhi,Mumbai,Byculla,Mumbai
18142,"Civil Surgeon, General Hospital, Blood Centre",Ahmadnagar,Savedi,Ahmednagar
18264,"Medical Supritendant District-Hospital For Women, Blood Centre(C.S)",Akola,Akola,Akola
18022,Sir H N Hospital And Research Centre Blood Centre,Mumbai,Girgoan,Mumbai
18143,Dr. JondhaleS Nityaseva Blood Centre,Ahmadnagar,Shrirampur,Shrirampur
18144,Ashtavinayak Blood Bank,Ahmadnagar,Akashwani Kendra,Ahmednagar
18265,"Nandkishor Education Society Trust, Arpan Voluntary Blood Centre",Nagpur,Gandhi Nagar,Nagpur
18023,Shushrusha Citizens Co-Op Hospital Blood Centre,Mumbai,Dadar West,Mumbai
18266,"Adarsh Sanskaar Mandal Sanchalit, Dr. Hedgewar Rakta Pedhi, Blood Centre",Akola,Near Jathat Peth,Akola
18024,Smt. Kapoorben Vasanji Lathiya Blood Centre,Mumbai,Vile Parle,Mumbai
18145,"Rotary Blood Centre, Rahuri Charitable Trust",Ahmadnagar,Nagar Manmad,Rahuri
18140,Shri Sainath Blood Centre,Ahmadnagar,Rahata,Shirdi
18261,Akola Diagnostic Centre Blood Centre And Component Lab,Akola,Ramnagar,Akola
18141,Ahmednagar Municipal Council Blood Centre,Ahmadnagar,Asha Theatre,Ahmednagar
18262,"Civil Surgeon, District General Hospital Blood Centre",Parbhani,Parbhani,Parbhani
284448,"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",Pune,Narayangaon,Narayangaon
283233,Kurduwadi Blood Centre,Solapur,Madha,Solapur
284443,"Maharashtra Blood Centre, Waluj Midc, Dist. Chh. Sambhaji Nagar (Aurangabad)",Aurangabad,Waluj,Waluj
18234,Sanjivan Blood Centre,Chandrapur,Kasturba Rd,Chandrapur
18113,M/S Jeevan Jyot Charitable TrustS Solapur Blood Centre,Solapur,Siddheshwar Peth,Solapur
18114,Akshay Blood Centre,Solapur,Lashkar,Solapur
18236,"Indian Red Cross Society, Dr. Bhalchandra Blood Centre",Latur,Ircs,Latur
18115,"Athar Blood Centre, Solapur",Solapur,Athar Blood,Solapur
18116,Rajashri Chatrapati Shahu Maharaj Govt. Medical College And Chatrapati Pramilaraje General Hospita,Kolhapur,Somwar Peth,Karveer
18237,"Dean, Maeer,S Smt.Saraswati Karad Blood Centre",Latur,Ambajogai,Latur
18230,Jeevandhara Buldana Urban Blood Centre Run And Managed By Shree Charitable Trust,Buldana,Dsd City Mall,Buldana
18231,"Dean, Swami Ramanand Tirtha Rural Medical College. And Hospital, Blood Centre",Bid,Mch Ambajogai Tq.Ambajogai,Ambajogai
18232,Vaidyanath Blood Centre,Bid,Parli,Parli-Vajinath
18111,"Indian Red Cross Society Blood Centre, Shriman Rambhai Shah Blood Centre",Solapur,Somwarpe,Solapur
18112,"Smbt Institute Of Medical Science And Research Centre, Blood Centre And Component",Nashik,Igatpuri,Nashik
284555,M/S. Freedom Foundation Sanchlit Lifeline Blood Centre,Pune,Somatane,Pune
284433,"Ayush Blood Centre, Vaduj, Tal. Khatav, Dist. Satara",Satara,Vaduj,Vaduj
284432,"City Blood Centre, Component And Apheresis Centre, Beed",Jalna,Jalna,Jalna
18117,Leelavati Blood Centre,Buldana,John Lay Out,Buldhana
18238,"Ircs Nagappa Ambarkhane Blood Centre, Udgir",Latur,Udgir,Udgir
18118,Annasaheb Galatge Lions Blood Centre Run By Gadhinglaj Lions Welfare Association,Kolhapur,Doctors Colony,Gadhinglaj
18124,Acharya Shree Tulsi Blood Centre,Kolhapur,Udagaon,jaysingpur
18003,"Byl Nair Hospital, Blood Centre",Mumbai,Mumbai Central,Mumbai
18125,"Arpan Blood Centre, Blood Component And Apheresis Centre Kolhapur",Kolhapur,reliance mall,KOLHAPUR
18004,Goodwill Social ClubS Amruta Blood Centre,Aurangabad,Cidco,Aurangabad
18005,Breach Candy Hospital Trust Blood Centre,Mumbai,Breach Candy,Mumbai
18247,Navjivan Blood Centre Mged By Saraswati Vidyaprasarak Foundation,Mumbai,Borivali,Mumbai
18126,"Sai Seva Medical Foundation, Vaibhavlaxmi Blood Centre",Kolhapur,Deccan,Kolhapur
18006,St. GeorgeS Hospital And Regional Blood Centre,Mumbai,Fort,Mumbai
18248,Noor Hospital Blood Centre,Jalna,Jalna,Warudi
18120,"Late Balasaheb Datye, Lions Blood Centre, Ichalkaranji",Kolhapur,Hatkananga,Ichalkaranji
18241,Shrikrishna Blood Center,Osmanabad,Ajay Nagar,Omerga
18121,"Mahatma Gandhi Hospital Blood Centre, New Pargaon",Kolhapur,New Pargaon,Hatkanangale
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,Dr.G.Deshmukh,Mumbai
18122,Dr. D.Y Patil Hospital Blood Centre,Kolhapur,Kadamwadi,Kolhapur
18243,"Indian Red Cross Society Blood Centre, Nanded",Nanded,Vazirabad,Nanded
18244,Golwalkari Guruji Blood Centre,Nanded,Banda Chat,Nanded
18002,The B.D. Petit Parsee General Hospital Bsu,Mumbai,Grant Road,Mumbai
18123,Rajarshi Shahu Indian Red Cross Blood Centre,Kolhapur,K.E.Assembly,Kolhapur
18240,"Ankur Hospital Blood Centre, Chandrapur",Chandrapur,Balaji Nagar,Chandrapur
283339,Ahmednagar Blood Centre,Ahmadnagar,Ahmednagar,Ahmednagar
283459,"Azad Panchi Groups Sanchalit, Janseva Blood Centre, Hinjewadi Phase-1, Pune",Pune,Hinjewadi,Hinjewadi
281039,General Hospital Malegaon Blood Centre,Nashik,Malegaon,Malegaon
18007,Saifee Hospital Trust Blood Centre,Mumbai,Charni Road,Mumbai
18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",Mumbai,Mumbai Cst,Mumbai
18129,Chattrapati Shahu Maharaj Aadhar Blood Centre,Pune,Patil Plaza,Pune
18009,Bombay Red Cross Blood Centre,Mumbai,Fort,Mumbai
284140,Arpan Blood Centre Nanded,Nanded,Nanded,Nanded
18214,"Kakasaheb Chitle Memorial Centre Sanchalit, Jankalyan Blood Centre",Raigarh,Raigrah,Raigarh
18215,"Shree Sai Medical TrustS, Shree Sai Blood Centre, Old Panvel",Raigarh,Panvel,Panvel
283290,Jijai Blood Centre Components Laboratory And Apheresis Centre C,Nanded,Nand,Nanded
27164,HINDU HRUDAYSAMRAT BALASAHEB THACKERAY HOSPITAL BLOOD CENTRE,Nashik,Deolali,Nashik
27165,Panchavati Blood Centre Nashik,Nashik,Tarwala Nagar,Nashik
27162,Jeevan Dhara Blood Centre,Pune,Dhanori,Pune
27163,"Matoshree Blood Centre, Blood Component and Apheresis Centre",Parbhani,Jintur,Parbhani
27168,Siddeshwar Pratisthans Manwath Blood Centre,Parbhani,Manwath,Manwath
27169,Ocean Bahuudeshiya Sansthas Lions Blood Centre Wardha,Wardha,Shastri Chowk,Wardha
27166,M/s. Jupiter Hospital Blood Centre Kalyan Thane,Thane,Kalyan,Thane
27167,Warje Blood Centre,Pune,Warje,Pune
284016,"Dr. R.N.Cooper Hospital Blood Centre Vile Parle (W) Mumbai,",Mumbai,Vile Parle,Mumbai
284015,Aai Bahuuddeshiya Sevabhavi Sanstha Shourya Blood Centre Yavatmal,Yavatmal,Yavatmal,Yavatmal
284499,"M/S.Uaims Advanced Blood Centre, Ushahkal Abhinav Institute Of Medical Sciences(Uaims), Sangli. (A U",Sangli,Sangli,Sangli
283289,Mahatma Basaveshwar Blood Centre,Solapur,Solapur,Solapur
284498,Shri Gajanan Blood Centre,Washim,Washim,Washim
284014,"Shri Kamala Bhavani Blood Centre, Karmala",Solapur,Swatantra Saini,Karmala
283287,Manikraj Bahuudeshiya Samajsevi Sanstha Shivneri Blood Centre,Pune,Soham Nagari,Pune
284254,Blood Center District Hospital Aurangabad,Aurangabad,Chikalthana,Aurangabad
27160,Spandan Blood Centre Yavatmal,Yavatmal,Yavatmal,Umerkhed
18216,Rotary Club New Panvel Charitable Trust S Late Dr. B.V. Limaye Blood Centre,Raigarh,Panvel,PANVEL
283286,Raigad Hospital Blood Centre Of Saraswati Education Society,Raigarh,Karjat,karjat
18223,Dattaji Bhale Blood Centre,Aurangabad,Jawa,Aurangabad
18102,"Krishna Hospital And Medical Research Centre, Blood Centre",Satara,Karad,Satara
18103,Mauli Blood Centre satara,Satara,Sadarbazar,Satara
18225,Adarsh Blood Centre,Aurangabad,Aurangabad,Aurangabad
18104,Phaltan Medical FoundationS Blood Centre,Satara,Phaltan,Phaltan
18105,Yashwantrao Chavan Blood Centre,Satara,Karad,Karad
18226,Lions Blood Centre,Aurangabad,Guru Teg Bahadur,Aurangabad
18220,"Mauli Blood Centre, Latur",Latur,Barshi,Latur
18221,Shri Sai Seva Medical Foundation Sanchalit Nirnay Janseva Blood Centre,Dhule,C.S.No,Dhule
27174,MGM College Nerul Blood Centre,Thane,Belapur,Thane
284246,Ms.Rambhabai Bahuuddeshiya Seva Sanstha Seva Blood Centre,Nandurbar,Shahada,Nandurbar
18227,Jankalyan Blood Centre,Jalna,Apmcs Chatrapati Shivaji Complex,Jalna
27171,Shri Chhatrapati Shivaji Bahuuddheshiya Sansthas Varad Blood Centre Dhule,Dhule,Manmad Junction,Dhule
18107,Dr. Hegdewar Rakta Pedhi,Solapur,Railwaylines,Solapur
18228,"Civil Surgeon, General Hospital, Blood Centre",Jalna,Samarth Nagar,Jalna
18108,"Ima, Sahakar Maharshi Shankarrao Mohite Patil Blood Centre",Solapur,Ganeshnagar Akluj,Solapur
18229,Kalpataru Bahuuddeshiya Sansthas Lokmanya Blood Centre Gondia,Gondiya,Hanuman Ma,Gondia
18109,"Indian Red Cross Society Blood Centre, Bai Gopabai Damani Blood Centre, Solapur",Solapur,Red Cross R,Solapur
284361,"Laksh Foundation, Lifeline Blood Centre, Nashik",Nashik,Suyojit Commercial Complex,Nashik
27170,B S P Medical College Blood Centre Chh Sambhaji Nagar,Aurangabad,Beed Highway Road Nipani Bhalgaon Chh.Sambhaji Nagar,Aurangabad
284360,"Criticare Asia Hospital Blood Centre, Pvt. Ltd., Kurla (W), Mumbai",Mumbai,Kurla,Mumbai
27146,"Govt. Medical College Blood Centre, Nagpur",Nagpur,Hospital Building,Nagpur
284117,"Vedanta Hospital And Research Center Blood Centre, Saswand, Post Dhundalwadi",Palghar,Palghar,Saswand
284359,"Maha Victory Charitable Trust, Lifeline Blood Centre, Bapgaon, Tal. Bhiwandi, Dist. Thane",Thane,Kalyan,Bhiwandi
284358,"Poona Medical Relief And Research Foundation, Kai Madhukar Sakharam Bidkar Blood Centre, Pune",Pune,Mangalwar Peth,Pune
27145,"Civil Surgeon, District General Hospital Blood Centre & Blood Component Unit Hingoli",Hingoli,Hingoli Akola,Hingoli
284112,Mahalaxmi Blood Centre,Kolhapur,West Side,Kolhapur
283264,Aurangabad Thalassemia Society Shri Satya Sai Blood Centre,Aurangabad,Opposite Sant Tukaram N,Aurangabad
283142,Samarpan Blood Centre,Bhandara,Bhandara,Bhandara
284350,Manipal Hospitals Pvt Ltd Blood Centre,Pune,Baner,Pune
283261,The Yugantar Education SocietyS Nashikrao Tirpude Blood Centre,Nagpur,Chalks Colony,Nagpur
18201,"Dr. D.Y. Patil Hospital And Research Centre, Blood Centre",Thane,Nerul,Thane
283260,Samarpit Bahuddeshiya Sevabhavi Sanshta Tarpan Blood Centre,Pune,Loni Kalbhor,Pune
18203,"Jai Matadi Bahuuddeshiya Sevabhavi Sasthas Guru Gobindsinghji Blood Centre, Blood Comp And Aphs Nand",Nanded,Naroji,Nanded
18204,Bhiwandi Blood Centre,Thane,Hera Complex Teen Batti,Bhiwandi
27154,"Sir, J.J. Group Hospital Blood Centre, Byculla Mumbai",Mumbai,Byculla,Mumbai
27152,Bai Gangabai Ladies Hospital Blood Centre Gondiya,Gondiya,Civil Lines,Gondia
283259,Sanjeevan Blood Component And Apheresis Centre,Thane,Badlapur,Badlapur
284589,M/S. Jai Mata Di Bahuddeshiya SansthaS Melghat Blood Centre,Amravati,Melghat,Amravati
18209,Vijayee Blood Centre Vasai (W),Palghar,Palghar,Vasai
284467,"Mahalaxmi Blood Centre, Kagal,Kolhapur",Kolhapur,Jaysinghrao Park N.R,Kolhapur
18205,Mira Bhayandar Muncipal Corporation Rajeev Gandhi Blood Centre,Thane,Mira Road,Mira Road
18206,Tarapure Automic Power Station Hospital Blood Centre,Palghar,Palghar,Boisar
27150,"Sub -Dist Cottage Hospital, Blood Centre , Sawantwadi, Sindhudurg",Sindhudurg,Sindhudurg,Sawantwadi
18207,Sarla Blood Centre,Palghar,Palghar,Vasai
18208,M/S. Shri Hazur Saheb Blood Centre,Nanded,Opp. Bank Of I,NANDED
285274,"Bhartiya Sanskruti Shikshan Prasarak Mandal, Sangola sanchlit,Sangola Blood Centre,Sangola,Solapur",Solapur,Opp.Market Yard,Pandharpur
285275,"Pushplata D.Y.Patil Hospital & Research Centre Blood Centre, Maval, Pune",Pune,Pushplata D.Y.Patil Hospi,Pune
285276,"Shri.Swami Samarth Blood Centre, Pandharpur, Solapur",Solapur,Gokul,Solapur
18098,"Akshay Blood Centre, Miraj",Sangli,Miraj,Miraj
18099,"Akshay Medical Trust, Akshay Blood Centre",Satara,Sadar,Satara
18094,Vasantdada Patil Blood Centre And Haematology Research Centre,Sangli,Mirasaheb Shopping Complex,Miraj
18095,"Hindratna Prakashbapu Patil Blood Centre, Sangli",Sangli,Siddhivinayak Commercial Complex Guest House,Sangli
18096,Bharati Vidyapeeth University Medical College And Hospital Blood Centre,Sangli,Miraj,Sangli
18097,"Miraj Serological Institute Blood Centre, Miraj",Sangli,S.No.795/A,Sangli
18090,"Islampur Medical Foundations, Rajaram Bapu Blood Centre , Islampur",Sangli,Scan Peth,Islampur
18091,Smt. Anila Kantilal Kothari Blood Centre And Dept. Of Hemato Oncology,Sangli,Shri Siddhivinayak Ganapati Cance,Sangli
283198,Riddhi Vinayak Hospital Services Public Charitable Trust Blood Centre,Palghar,Palghar,Palghar
18076,"Abhinav Sikshan MandalS, Sanjeevan Blood Centre",Kolhapur,Abhinav Sikshan Mandals,Kolhapur
18077,Padmashree Dr.D.Y Patil (Vishweshwar) Blood Centre,Pune,Sant,Pune
18078,Noble Charitable TrustS Noble Blood Centre,Pune,Magarpatta,Pune
18199,"Navi Mumbai Muncipal Corporation, Blood Centre",Thane,Vashi,Thane
18079,Pimpari Serological Institute Blood Centre,Pune,Mumbai Highway,Pune
18193,Chidanand Charitable Trust Blood Centre,Thane,Dombivili West,Dombivli
18072,"Metro Blood Centre,Civil Hospital Aundh Pune",Pune,Aundh,Pune
18194,Plasma Blood Centre,Thane,V.P.Ro,Thane
18073,"Grant Medical Foundation, A.H. Wadia Trust Blood Centre",Pune,Post Box No,Pune
18195,Kalyan Dombivali Muncipal Corporation Sponsered Nandakishore Educaation Society Arpan Blood Bank,Thane,Kalyan (West),Thane
18196,Ishwar Seva Trusts Dombivali Blood Center,Thane,Dombivli,Dombivli
18190,Kai Wamanrao Oka Rakta Kendra,Thane,Naupada,Thane
18070,Jehangir Hospital Blood Centre,Pune,Sasoon,Pune
18071,Kem Hospital Blood Centre,Pune,Rastha Peth,Pune
285061,Pachpande Multispeciality Hospital Blood Storage Center,Jalgaon,Jalgaon,muktainagar
285062,Gadchiroli Blood Centre,Gadchiroli,Navegaon,Navegaon
285065,"Majalgaon Blood Centre, Blood Component And Apheresis Centre, Majalgaon",Bid,Naik Complex,Beed
284150,"Shri Dhaneshwari Manav Vikas Mandals, Shantai Blood Centre, Pedgaon, Dist. Parbhani",Parbhani,Pedgaon,Pedgaon
285067,"Jijau Blood Centre, Blood Component And Apheresis Centre, Parbhani",Parbhani,Parbhani,Parbhani
18087,"Sarvodaya Samaj Vikas Sanstha, R.G Gholap Memorial Blood Centre",Pune,Pune S,Pune
18088,Cristanand Education Society Blood Centre,Chandrapur,Brahmapuri,Brahmapuri
18089,"Civil Surgeon, General Hospital Blood Centre, Gadchiroli",Gadchiroli,Chandrapur R,Gadchiroli
18083,Smt Kashibai Navale General Hospital Blood Centre,Pune,Ambegaon,Pune
18084,Chakan Blood Centre,Pune,Chakan,Pune
18085,"Indian Red Cross Society, (Late Manikbai Chandulal Saraf ) Blood Centre, Pune",Pune,Baramati,Baramati
18086,Central India Institute Of Haematology And OncologyS Blood And Blood Component Bank And Apheresis U,Nagpur,Dhantoli,Nagpur
18080,Konkan Mitra Mandal Medical TrustS Sahyadri Speaciality Hospital Blood Centre,Pune,Deccan Gymkhana,Pune
18081,Aditya Birla Memorial Hospital Blood Centre,Pune,Chinchwad,PUNE
18082,Rakesh Jain Memorial Blood Centre,Pune,Sadashiv Peth,Pune
283298,Ved Medical Foundation Pune Vita Blood Centre,Sangli,Basement Of Kala,Sangli
18179,"Nashik Blood Bank And Transfusion Research Institute Blood Bank(Jijau Mahila Sewabhavi Sanstha, Nash",Nashik,Tidke Colony,Nashik
18058,Sion Blood Centre,Mumbai,Sion,Mumbai
285230,"Redlife Blood Centre, Ghansoli, Navi Mumbai, Thane",Thane,Gami Aster,Thane
285231,"Shaurya Blood Centre,Blood Components and Apheresis, Chandrapur",Chandrapur,Chandrapur,Chandrapur
18059,Bharatratna Dr Babasaheb Ambedkar Mun. Gen. Hospital Blood Centre,Mumbai,First F,MUMBAI
18175,Ndmvps Medical College And Hospital Blood Centre,Nashik,Adgaon,Nashik
18297,The Santajee Educational And Medical Foundation Trusts Navjeevan Blood Centre,Nashik,Mumbai Naka,Nashik
18055,"Meenatai Thackeray Blood Centre, Goregaon, Mumbai, Managed By Prabodhan Goregaon",Mumbai,Goregaon West,Mumbai
18176,"Late. Dr. G.M. Bhavsar Charitable TrustS,Malegaon Blood Centre",Nashik,Satana Naka,Malegaon
18177,"Shri Sai Seva Medical Foundation Sanchalit, Sanjeevani Blood Centre",Nashik,Vadala Shivar,Nashik
18056,Manas Serological Institute Blood Centre,Mumbai,Cts No,Mumbai
18057,Suburban Hi-Tech Blood Centre,Mumbai,Malad,Mumbai
18178,"Medical Superintendent, Regional Referal Hospital Blood Bank,(Superspeciality Hospital) Nashik",Nashik,Shalimar Chowk,Nashik
18050,Sevenhills Healthcare Private Limited Hospital Blood Centre,Mumbai,Mumabi,Mumbai
18292,"Kasturba Health SocietyS, Blood Centre, Sevagram(Mgims)",Wardha,Department Of Pathology,Wardha
18171,"Jankalyan Blood Centre, Nashik",Nashik,Gangapur,Nashik
18172,Sainik Aspatal Military Hospital Blood Centre,Nashik,Devlali Nashik,Deolali
18051,V.N. Desai Municipal General Hospital Blood Centre,Mumbai,Santacruz East,mumbai
18293,Jawaharlal Nehru Medical College Blood Centre,Wardha,Sawangi Meghe,wardha
18173,DevaS Health And Devlopment Foundation Samta Blood Centre,Nashik,Govind Nagar,Nashik
18052,Holy Spirit Hospital Blood Centre,Mumbai,Andher,Mumbai
18295,"Arpan Blood Centre,Blood Component Lab. And Aphersis Centre",Ahmadnagar,Swatantrya,Sangamner
280738,Superitendent Gokuldas Tejpal Hospital,Mumbai,L.T.,Mumbai
18290,Dean Government Medical College And Super Speciality Hospital Blood Centre,Nagpur,Ajni,Nagpur
18170,"Medical Superitendant, J.D.C. Bytco Hospital Blood Centre",Nashik,Nashik Road,Nashik
18291,"District - Civil Surgeon, General Hospital Blood Centre Wardha",Wardha,General Hosp,wardha
18069,Jankalyan Raktapedhi Pune,Pune,Shukrawar Peth,Pune
284095,"Chhatrapati Shahu Maharaj Pratishthan, Swastik Blood Centre, Kamothe, Navi Mumbai",Raigarh,Kamothe Navi Mumbai,Navi Mumbai
285244,Raigad Blood Centre Pen Tal Pen Dis Raigarh,Raigarh,Old Rto Of,Pen
18065,"Deenanath Mangeshkar Hospital, Blood Centre",Pune,Erandwane,PUNE
18186,Lokamanya Tssia Blood Centre,Thane,Petrol P,Thane
18187,Chhatrapati Shivaji Maharaj Hospital Blood Centre Csm,Thane,Belapur,Thane
18067,Indian Serological Institute Blood Centre,Pune,Navi Peth,Pune
18188,M/S Balasaheb Thackerey Blood Centre,Mumbai,Traumaca,Mumbai
18189,Jupiter Hospital Blood Centre,Thane,Eastern Express,Thane
18068,"Sadhu Vaswani Mission Medical Complex, Inlaks And Budharani Hospital Blood Centre, Pune",Pune,Koregaon Park,Pune
18061,"Acharya Anandrishiji Blood Centre, Pune",Pune,Sadashiv Peth,Pune
18183,"Mahatma Gandhi Blood Centre, Operated By Task",Thane,Naupada,Thane
18062,Akshay Blood Centre,Pune,Hadapsar,Pune
18184,"Vitthal Sayanna General Hospital (Civil Hospital) Blood Centre, Thane",Thane,Tembhi Naka,Thane
18064,M/S Bharati Vidyapeeth Medical Foundations Bharati Hospital Blood Centre,Pune,Bharati Vidyapeeth S.No,Pune
18185,Navjeevan Blood Centre Mangaed By Spvf,Thane,Naupada,Thane
18181,"Shree Swami Samartha Vaidyakiya Shaikshanik And Sanshodhan Sanstha, Late Shri Mukeshbai Patel Blo",Dhule,Dhule,Shirpur
280723,Mahalakshmi Blood Centre,Satara,Mahalaxmi,karad
18157,Civil Hospital Blood Centre,Jalgaon,Zilha Peth,Jalgaon
18278,Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Centre,Buldana,Malkapur,Malkapur
18037,Deepak Foundations Anviksha Blood Centre,Mumbai,Ghatkopar,Mumbai
18158,Indian Red Cross Society Sanchalit Askaran Tarachand Jain Blood Centre,Jalgaon,Jalgaon,Chopda
284084,"Washim Blood Centre (Trust), Washim Managed By Ocean Bahuuddeshiya Sanstha, Pusad, Dist. Yavtmal",Washim,Akola Nak,Washim
18279,"Medical Superitendant, Saibai Mote General Hospital Blood Centre, Shegaon",Buldana,Shegaon,Shegaon
18038,"K.B.Bhabha Muncipal General Hospital, Blood Centre",Mumbai,Bandra,Mumbai
18159,Jeevanshri Raktapedi,Jalgaon,Amalner,Jalgaon
18039,Lilavati Hospital And Research Centre Blood Centre,Mumbai,Bandra Reclaimation,Bandra
18153,Jeevan Jyoti Blood Centre,Dhule,Green Park,Dhule
18154,Shree Navjeevan Blood Centre Dhule,Dhule,Behi,Dhule
18275,Shri Gajanan Blood Centre And Components,Yavatmal,Bajaj Satkar Bhavan,Yavatmal
18033,Bhabha Atomic Research Centre Hospital Blood Centre,Mumbai,Anushakti Nagar,Mumbai
18034,"Seth V.C.Gandhi And M.A.Vora Municipal General Hospital, Rajawadi ,Ghatkopar",Mumbai,Rajawadi Hospit,Ghatkopar
18155,Dhanwantri Blood Centre,Jalgaon,Jalgaon,Bhusawal
18276,"Medical Superitendant, Government Hospital Blood Centre(Khamgaon)",Buldana,Shegaon,Khamgaon
18035,"Sushilaben R. Mehta And Sir. Kikabai Cardiac Institute, Blood Centre",Mumbai,Gandhi Market,Mumbai
18156,Keshavsmruti Pratishthan Sanchalit Madhavrao Golwalkar Swayamsevi Raktpedhi,Jalgaon,Dr. Anil Achyarya Bhavan,Jalgaon
18277,"Civil Surgeon, District General Hospital Blood Centre",Buldana,Prabadhan School,Buldana
18150,Shri Bhausaheb Hire Govt. Medical College And Hospital Blood Centre Dhule,Dhule,Surat By,Dhule
18030,K.J.Somaiya Medical College And Hospital Blood Centre,Mumbai,First,Mumbai
280719,Swami Vivekanand Blood Centre,Nanded,Nanded,Nanded
18031,"L.T.M.G., Municipal Hospital Blood Centre",Mumbai,Sion,Mumbai
18152,Jawahar Medical Foundation Blood Centre,Dhule,Morane,Dhule
18047,Fortis Hospital Blood Centre,Mumbai,Goregaon,Mumbai
18289,Rainbow Blood Centre,Nagpur,Rainbow Diagnostic Services Central Bazar Ro,Nagpur
18168,Arpan Blood Centre And Blood Component Laboratory And Research Centre Nashik,Nashik,Opp.Ga,Nashik
18169,Civil Hospital Blood Centre Nashik,Nashik,Trimbak Naka,Nashik
18048,Kokilaben Dhirubhai Ambani Blood Centre,Mumbai,Andheri,Mumbai
18049,Rotary D.G Goenka Blood Centre( Municipal Gen. Hospital),Mumbai,Andheri,Mumbai
285265,Shrinivasa Blood Centre,Nanded,Deglur,Deglur
18164,"Civil Surgeon, District General Hospital Blood Centre, Nandurbar",Nandurbar,Nandurbar,Nandurbar
18285,Sainath Blood Centre,Nagpur,Hotel Centre,Nagpur
18043,Poona Serological Institute Blood Centre,Pune,C.T.S. No,Pune
18165,"Ansar Blood Centre, Malegaon",Nashik,Islampura,Malegaon
18044,Bandra Holly Family Hospital Society Blood Centre,Mumbai,Bandra,Mumbai
