hospital_code,latitude,longitude
283208,19.162773,74.858024
283207,18.521428,73.854454
282598,17.6599,75.9064
282599,21.09393,78.97617
284529,18.54499,73.85989
284765,19.850495,73.969353
284764,20.9047868,77.7146924
282586,17.636129,74.298278
283795,18.521428,73.854454
284763,17.6935611,74.0089344
283310,18.18759,76.0311
283307,21.16669,75.8627
283306,19.839339,75.881881
283305,19.18772,73.02151
284514,19.6689,73.06283
282577,19.194329,72.970178
284510,19.10463,74.7344
282570,19.194329,72.970178
282571,17.849907,75.27632
284509,20.9727,79.4027
284508,20.94354,77.84283
280149,19.06394,73.06442
280147,20.38882,78.12042
282568,18.40111,76.58047
280148,16.67935,74.46245
280145,19.03632,73.01544
282565,19.696714,72.769885
280146,20.39606,78.11931
284864,19.84282,75.22779
280143,28.63847,77.18943
282564,21.1458,79.088155
280141,17.65882,75.90745
282683,22.5,83.5
282562,19.15588,73.02779
280142,19.692902,72.772639
280140,17.62508,75.97379
