district,blood_group,observations,blood_banks,average_stock,median_stock,stockout_percentage,low_stock_percentage,stock_volatility,recovery_rate,stockout_percentage_score,low_stock_percentage_score,stock_volatility_score,recovery_weakness_score,hotspot_score,hotspot_class
Mumbai,AB-,995,52,0.5306532663316583,0.0,74.47236180904522,25.52763819095477,2.0607122438105314,10.632612804927383,96.42857142857143,46.785714285714285,93.21428571428572,82.14285714285714,79.64285714285714,Critical
Mumbai,B-,995,52,1.7135678391959799,0.0,53.768844221105525,36.582914572864325,1.6581963564030662,22.54720747948302,86.42857142857143,55.714285714285715,85.35714285714285,66.07142857142857,73.39285714285714,High
Mumbai,O-,995,52,2.4331658291457288,0.0,52.16080402010051,32.8643216080402,1.7507784741178427,23.07083152671388,85.0,53.214285714285715,89.64285714285715,65.71428571428571,73.39285714285715,High
Nagpur,A-,360,18,0.8222222222222222,0.5,50.0,48.888888888888886,1.323979546956704,30.382495590828924,83.92857142857143,71.07142857142857,71.78571428571429,54.285714285714285,70.26785714285714,High
Nagpur,O-,360,18,5.383333333333334,2.0,35.833333333333336,56.388888888888886,6.8036061565897334,27.619047619047617,69.82142857142857,80.35714285714286,100.0,57.14285714285714,76.83035714285714,Critical
Nanded,AB-,202,11,0.5891089108910891,0.0,58.91089108910891,41.089108910891085,1.4376626197918858,20.833333333333332,91.42857142857143,61.78571428571429,78.57142857142857,69.28571428571428,75.26785714285714,High
Nanded,B-,202,11,2.3217821782178216,1.0,42.57425742574257,46.53465346534654,1.5380939556176134,38.333333333333336,78.57142857142857,69.28571428571428,82.5,41.42857142857143,67.94642857142857,High
Nanded,O-,202,11,2.1732673267326734,1.0,45.54455445544555,42.57425742574257,1.5091576044912183,27.36111111111111,80.35714285714286,65.0,80.0,57.49999999999999,70.71428571428571,High
Nandurbar,AB-,60,3,13.216666666666667,2.0,26.666666666666668,40.0,1.30013221897745,0.0,55.35714285714286,59.82142857142857,69.64285714285714,96.25,70.26785714285714,High
Nashik,AB-,399,20,0.6641604010025063,0.0,63.90977443609023,35.83959899749373,1.700585202816922,17.2701395372964,94.64285714285714,55.00000000000001,87.5,72.5,77.41071428571428,Critical
