district,blood_group,observations,blood_banks,average_stock,median_stock,stockout_percentage,low_stock_percentage,stock_volatility,recovery_rate,stockout_percentage_score,low_stock_percentage_score,stock_volatility_score,recovery_weakness_score,hotspot_score,hotspot_class
Hingoli,A-,48,2,0.16666666666666666,0.0,87.5,12.5,2.82842712474619,5.0,97.85714285714285,24.107142857142858,96.07142857142857,91.78571428571428,77.45535714285714,Critical
Hingoli,AB+,48,2,11.020833333333334,12.5,2.083333333333333,22.916666666666664,0.4508377816360762,100.0,11.071428571428571,43.392857142857146,1.4285714285714286,5.892857142857142,15.446428571428573,Lower
Hingoli,AB-,48,2,0.5625,0.0,66.66666666666666,33.33333333333333,1.5355861067872505,2.631578947368421,93.57142857142857,54.285714285714285,77.5,94.64285714285714,80.0,Critical
Hingoli,B+,48,2,24.770833333333332,25.0,2.083333333333333,14.583333333333334,0.6781408695786166,100.0,11.071428571428571,30.0,5.714285714285714,5.892857142857142,13.169642857142858,Lower
Hingoli,B-,48,2,1.125,1.0,41.66666666666667,58.333333333333336,0.9536587547839803,5.263157894736842,75.71428571428571,83.75,27.857142857142858,91.07142857142857,69.59821428571429,High
Hingoli,O+,48,2,12.270833333333334,15.0,6.25,22.916666666666664,0.6844085032933638,100.0,20.535714285714285,43.392857142857146,6.428571428571428,5.892857142857142,19.0625,Lower
Hingoli,O-,48,2,2.4166666666666665,1.0,27.083333333333332,56.25,1.4053575084355057,9.090909090909092,55.714285714285715,81.42857142857143,72.14285714285714,86.42857142857143,73.92857142857143,High
Jalgaon,A+,264,11,16.848484848484848,5.0,35.984848484848484,14.393939393939394,1.5671896008188861,22.13804713804714,68.92857142857143,29.642857142857142,78.92857142857143,70.0,61.875,Moderate
Jalgaon,A-,264,11,0.9583333333333334,0.0,56.060606060606055,41.66666666666667,1.5013884849404586,16.349206349206348,86.78571428571429,63.035714285714285,76.42857142857142,79.28571428571428,76.38392857142857,High
Jalgaon,AB+,264,11,8.723484848484848,3.0,32.196969696969695,29.545454545454547,1.4711835097800157,46.03174603174603,62.5,51.42857142857142,74.64285714285714,34.64285714285714,55.80357142857142,Moderate
Jalgaon,AB-,264,11,0.4810606060606061,0.0,64.39393939393939,35.60606060606061,1.5559302175347336,12.913059163059163,93.21428571428572,55.35714285714286,78.21428571428571,83.57142857142857,77.58928571428571,Critical
Jalgaon,B+,264,11,20.643939393939394,6.5,28.40909090909091,19.696969696969695,1.5588643113660459,8.333333333333332,57.85714285714286,38.57142857142858,78.57142857142857,87.85714285714286,65.71428571428572,Moderate
Jalgaon,B-,264,11,1.8636363636363635,0.0,60.22727272727273,24.242424242424242,1.7744635807491558,14.63095238095238,90.71428571428571,44.642857142857146,87.14285714285714,81.07142857142857,75.89285714285714,High
Jalgaon,O+,264,11,32.93560606060606,13.0,27.65151515151515,10.606060606060606,1.350549924467754,25.0,56.785714285714285,20.714285714285715,68.92857142857143,65.35714285714286,52.94642857142858,Lower
Jalgaon,O-,264,11,1.356060606060606,1.0,49.24242424242424,45.07575757575758,1.3000685401814405,26.03174603174603,81.78571428571428,66.78571428571428,66.78571428571428,62.857142857142854,69.55357142857142,High
Jalna,A+,120,5,34.21666666666667,22.0,5.0,12.5,0.9115301618345166,60.0,18.571428571428573,24.107142857142858,21.785714285714285,19.107142857142854,20.892857142857146,Lower
