hospital_code,blood_bank_name,district,degree,degree_centrality,betweenness_centrality,closeness_centrality
284764,"Blood Centre And Component Separation Unit, Sub-District Hospital, Dharni, District Amravati",Amravati,5,0.015197568389057751,1.8533619986655795e-05,0.0008891588587177207
282586,"Varad Charitable And Medical Trust, Balaji Blood Centre, Satara",Satara,8,0.0243161094224924,0.0018348283786789237,0.001205063694033966
283795,Autus Blood Centre,Pune,30,0.0911854103343465,0.0,0.01588380147723642
284763,"Balaji Blood Centre, Lonand, Khandala Taluk, Dist. Satara",Satara,7,0.02127659574468085,0.0005560085995996738,0.0011093039808993772
283310,Renuka Blood Centre Component And Apheresis Centre,Osmanabad,2,0.0060790273556231,0.0,0.0003261830482618311
283307,Sant Jagnnath Maharaj Anjalekar Bahuuudeshiya Sansthas Sanjivani Blood Centre,Jalgaon,10,0.030395136778115502,0.0,0.0008345543406948609
283306,Jalna Blood Centre Components And Apheresis Centre,Jalna,3,0.00911854103343465,0.0,0.0008883272596635031
283305,Surabhi Hospital Pvt.Ltd. Surabhi Blood Centre,Ahmadnagar,73,0.22188449848024316,0.0,0.010610245054500369
284514,M/S . Ideal Foundations Ideal Blood Centre,Palghar,6,0.0182370820668693,0.0,0.0034570332337672985
282577,"Welfare And Educational Trust Of Nmrcw, Chemist Blood Centre",Thane,70,0.2127659574468085,0.0,0.011774238518003789
284510,"Saiseva Blood Cantre, Blood Components And Apheresis Centre",Ahmadnagar,9,0.02735562310030395,0.0,0.0009028706174075027
282570,Sankalp Blood Centre,Thane,70,0.2127659574468085,0.0,0.011774238518003789
282571,"Shri Manoharpant Sapate Bahuuddeshiya Samajseva Sansthan TrustS, M/S. Medicare Blood Centre",Solapur,3,0.00911854103343465,0.0,0.0003556537142198863
284509,Sankalp Blood Centre,Satara,19,0.057750759878419454,0.0008247460894061829,0.001454204836982838
284508,Dr.Rajendra Gode Blood Centre And Component Lab,Amravati,4,0.0121580547112462,0.0,0.0006908998694397638
280149,Advanced Centre For Treatment Reasearch And Education In Cancer,Raigarh,73,0.22188449848024316,7.413447994662318e-05,0.009788291927484235
280147,"Ocean Bahuuddeshiy Sanstha, M/S Ekneel Blood Centre",Yavatmal,4,0.0121580547112462,0.0,0.0003878840773933038
280148,"M/S Adhar Blood Centre, Ichalkaranji",Kolhapur,24,0.0729483282674772,0.0,0.0020534937840358423
282568,Vbss Sanchalit Latur Blood Centre And Components Latur,Latur,7,0.02127659574468085,0.0,0.000915303016048209
280145,Terna Blood Centre,Thane,74,0.22492401215805471,0.00011120171991993476,0.010882473882711793
282565,"Sathiya Educational SocietyS Sathiya Trust Blood Centre, Nalasopara, Palghar",Palghar,5,0.015197568389057751,0.0,0.0034199207021736833
280146,Blood Centre Shri Vasantrao Naik Govt. Medical College And Hospital,Yavatmal,4,0.0121580547112462,0.0,0.00038652488870357434
284864,"Sahyaadrie Blood Centre, Midc Waluj Industrial Area, Vadgaon Kolhati, Chh. Sambhajinagar.",Aurangabad,11,0.03343465045592705,0.0,0.0016336927441927415
282564,M/S Aman Blood Centre Gandhibag Nagpur,Nagpur,18,0.0547112462006079,0.0,0.002275768918771456
280141,Mallikarjun Blood Centre,Solapur,10,0.030395136778115502,0.0,0.019352068019241313
280142,"Maharashtra Bloodbank, Component And Apheresis Center",Palghar,5,0.015197568389057751,0.0,0.003442032316951599
282562,Kokilaben Dhirubhai Ambani Hospital Navi Mumbai Blood Centre,Thane,73,0.22188449848024316,0.0,0.010905133483899718
280140,"M.M.Patel Public Charitable Trust, Ashwini Rural Medical College And Hospital Blood Centre",Solapur,10,0.030395136778115502,0.0,0.003659732201868923
